Current.Salary,Beginning.Salary,Previous.Experience,Education
57000,27000,144,15
40200,18750,36,16
21450,12000,381,12
21900,13200,190,8
45000,21000,138,15
32100,13500,67,15
36000,18750,114,15
21900,9750,0,12
27900,12750,115,15
24000,13500,244,12
30300,16500,143,16
28350,12000,26,8
27750,14250,34,15
35100,16800,137,15
27300,13500,66,12
40800,15000,24,12
46000,14250,48,15
103750,27510,70,16
23700,13500,359,15
26550,14250,61,15
27600,15000,75,12
25800,15000,143,12
42300,26250,126,16
30750,15000,451,8
26700,12900,18,12
20850,12000,163,12
35250,15000,54,15
26700,15000,56,15
26550,13050,11,12
27750,12000,11,12
25050,12750,123,16
66000,47490,150,16
52650,19500,20,16
45625,23250,60,16
30900,15000,25,15
29400,16500,24,15
24900,11250,0,12
19650,10950,11,12
22050,10950,9,12
25500,12000,11,12
28200,12750,19,15
23100,11250,13,12
25500,11400,9,12
17100,10200,0,8
68125,32490,29,18
30600,15750,460,12
52125,27480,221,19
61875,36750,199,19
21300,11550,24,8
19650,11250,5,12
22350,11250,5,12
23400,11250,18,12
24300,10950,8,12
28500,11250,4,12
19950,11250,8,12
23400,11250,0,12
34500,17250,3,16
18150,10950,0,12
21750,12450,318,8
59400,33750,272,12
24450,14250,117,12
103500,60000,150,16
35700,16500,72,12
22200,16500,7,12
22950,13950,22,15
23100,12000,228,12
56750,30000,15,16
29100,12750,375,17
37650,15750,132,12
27900,13500,32,12
21150,12000,159,8
31200,15750,155,12
20550,11250,154,12
20700,11250,2,12
21300,11250,3,12
24300,15000,121,12
19650,13950,133,12
60000,32490,17,17
30300,15750,55,15
61250,33000,9,19
36000,19500,21,19
25200,18750,344,8
30750,15000,56,12
33540,15750,47,12
34950,20250,55,16
40350,16500,80,15
30270,15750,80,12
26250,16050,264,8
32400,15000,64,15
20400,11250,0,12
24150,12750,96,8
23850,13500,122,15
29700,13500,26,12
21600,13500,228,8
24450,15750,87,12
28050,16500,84,15
100000,44100,128,16
49000,20550,86,15
16350,10200,163,12
70000,21750,19,16
